市区町村,latitude,longitude,合計特殊出生率
日の出町,35.742142,139.257444,1.31
檜原村,35.726839,139.148866,1.29
奥多摩町,35.809543,139.096197,1.16
大島町,34.75004,139.355579,1.34
利島村,34.529364,139.282585,1.1
新島村,34.377134,139.256571,1.19
神津島村,34.205267,139.134255,1.23
三宅村,34.075774,139.479744,1.32
御蔵島村,33.897366,139.596116,1.09
八丈町,33.11274,139.789065,1.53
青ヶ島村,32.466459,139.763312,1.09
小笠原村,27.094366,142.191918,1.29
横浜市,35.508404,139.68254,1.24
川崎市,35.529667,139.703848,1.25
相模原市,35.59565,139.33771,1.22
横須賀市,35.281341,139.672201,1.27
平塚市,35.33511,139.349476,1.25
鎌倉市,35.319225,139.546687,1.21
藤沢市,35.33917,139.490036,1.4
小田原市,35.264564,139.152154,1.24
茅ヶ崎市,35.33386,139.404716,1.33
逗子市,35.295606,139.580423,1.38
三浦市,35.144171,139.62077,1.07
秦野市,35.374736,139.219943,1.15
厚木市,35.443082,139.362489,1.28
大和市,35.487512,139.45795,1.37
伊勢原市,35.402969,139.314973,1.29
海老名市,35.446446,139.390803,1.41
座間市,35.488587,139.407673,1.24
南足柄市,35.320715,139.0996,1.18
綾瀬市,35.437175,139.426148,1.37
葉山町,35.272089,139.5862,1.22
寒川町,35.372956,139.383861,1.38
大磯町,35.30685,139.311314,1.22
二宮町,35.299491,139.255402,1.15
中井町,35.330717,139.218774,1.14
大井町,35.326674,139.156577,1.37
松田町,35.348159,139.139375,1.28
山北町,35.360605,139.083831,1.08
開成町,35.336427,139.123183,1.47
箱根町,35.232355,139.106937,0.92
真鶴町,35.158468,139.137119,1.14
湯河原町,35.147964,139.108317,1.16
愛川町,35.528796,139.321717,1.2
清川村,35.482383,139.276382,1.28
新潟市,37.916243,139.218588,1.3
長岡市,37.446265,138.851277,1.39
三条市,37.636768,138.961689,1.35
柏崎市,37.3719,138.558984,1.34
